PLATFORM,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH (meter),TEMP (degree_Celsius),QC,BATHY,BATHY_QC,STATION_GLOBAL_QC
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,136,23.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,138,23.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,140,23.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,142,23.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,144,23.7,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,146,23.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,148,23.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,150,23.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,152,23,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,154,22.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,156,22.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,158,22.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,160,22.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,162,22.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,164,22.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,166,22,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,168,21.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,170,21.7,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,172,21.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,174,21.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,176,21.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,178,21.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,180,21.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,182,21.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,184,21.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,186,21.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,188,21.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,190,20.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,192,20.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,194,20.7,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,196,20.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,198,20.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,200,20.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,202,20.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,204,20,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,206,20,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,208,20,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,210,19.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,212,19.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,214,19.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,216,19.7,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,218,19.7,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,220,19.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,222,19.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,224,19.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,226,19.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,228,19.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,230,19.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,232,19.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,234,19.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,236,19.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,238,19.1,011111, ,9,1
