PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),QC
53964,2009-01-03T00:20:00Z,20.4750,120.9600,26.4,0,011117
53964,2009-01-03T01:20:00Z,20.5920,120.9200,26.4,0,014417
53964,2009-01-03T01:30:00Z,20.5040,120.9490,26.4,0,014417
53964,2009-01-03T02:00:00Z,20.6060,120.9150,26.4,0,014417
53964,2009-01-03T05:00:00Z,20.6190,120.9090,26.2,0,011117
53964,2009-01-03T06:40:00Z,20.7260,120.8590,26.4,0,014417
53964,2009-01-03T06:50:00Z,20.7850,120.8360,26.2,0,014417
53964,2009-01-03T07:20:00Z,20.7920,120.8300,26.2,0,011117
53964,2009-01-03T07:40:00Z,20.6920,120.8740,26.4,0,014417
53964,2009-01-03T08:50:00Z,20.7140,120.8630,26.4,0,011117
53964,2009-01-03T13:00:00Z,20.8430,120.7780,25.9,0,011117
53964,2009-01-03T13:10:00Z,20.8430,126.6760,,0,014497
53964,2009-01-03T14:10:00Z,20.8080,120.8160,26.2,0,014417
53964,2009-01-03T17:30:00Z,21.1260,120.6760,24.7,0,014417
53964,2009-01-03T17:40:00Z,21.0150,120.6780,25.3,0,014417
53964,2009-01-03T19:40:00Z,21.0930,120.6650,24.9,0,011117
53964,2009-01-03T20:20:00Z,21.1110,120.6690,24.7,0,011117
53964,2009-01-03T21:20:00Z,21.2070,120.7260,,0,014497
53964,2009-01-03T21:50:00Z,21.2140,120.7320,24.3,0,011117
53964,2009-01-04T00:00:00Z,21.1260,120.6760,24.7,0,011117
53964,2009-01-04T01:00:00Z,21.2200,120.7360,24.3,0,014417
53964,2009-01-04T01:30:00Z,21.2670,120.7420,24.3,0,014417
53964,2009-01-04T04:50:00Z,21.2760,120.7390,24.3,0,011117
53964,2009-01-04T06:30:00Z,21.3220,120.7320,24.3,0,011117
53964,2009-01-04T07:30:00Z,21.3350,120.7330,24.3,0,011117
53964,2009-01-04T08:30:00Z,21.2860,120.7360,24.3,0,014417
53964,2009-01-04T09:10:00Z,21.3850,120.7490,24.3,0,014417
53964,2009-01-04T12:00:00Z,21.3850,120.7490,24.3,0,011117
53964,2009-01-04T12:10:00Z,21.4840,120.7890,24.1,0,014417
53964,2009-01-04T12:40:00Z,21.4950,120.7900,24.1,0,011117
53964,2009-01-04T13:40:00Z,21.4130,120.7690,24.3,0,014417
53964,2009-01-04T17:30:00Z,21.6160,120.7910,24.1,0,014417
53964,2009-01-04T19:20:00Z,21.6910,120.8010,24.1,0,011117
53964,2009-01-04T21:00:00Z,21.7460,120.8230,24.1,0,011117
53964,2009-01-04T21:40:00Z,21.7690,120.8440,24.1,0,011117
53964,2009-01-05T00:30:00Z,21.6710,120.7960,24.1,0,011117
53964,2009-01-05T00:40:00Z,21.7570,120.8310,23.8,0,014417
53964,2009-01-05T01:20:00Z,21.7580,120.8350,24,0,011117
53964,2009-01-05T02:10:00Z,21.7630,120.8390,24,0,011117
53964,2009-01-05T02:20:00Z,21.7750,120.8420,24,0,014417
53964,2009-01-05T03:00:00Z,21.7670,120.8410,24,0,011117
53964,2009-01-05T04:40:00Z,21.7840,120.8610,,0,011197
53964,2009-01-05T07:20:00Z,21.7580,120.8350,24,0,011117
