PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
22918,2009-01-03T00:15:00Z,28.6240,129.4720,22.5,0,,,,,,,,,01111799999999
22918,2009-01-03T00:19:00Z,28.6210,129.4750,22.5,0,,,,,,,,,01441799999999
22918,2009-01-03T01:17:00Z,28.5890,129.4590,22.5,0,,,,,,,,,01111799999999
22918,2009-01-03T01:24:00Z,28.5890,129.4590,22.5,0,,,,,,,,,01111799999999
22918,2009-01-03T01:58:00Z,28.6350,129.4760,22.5,0,,,,,,,,,01441799999999
22918,2009-01-03T02:57:00Z,28.6210,129.4750,22.5,0,,,,,,,,,01111799999999
22918,2009-01-03T03:00:00Z,28.6260,129.4690,22.5,0,,,,,,,,,01441799999999
22918,2009-01-03T03:32:00Z,28.6460,129.4700,22.5,0,,,,,,,,,01111799999999
22918,2009-01-03T05:02:00Z,28.6460,129.4700,22.4,0,,,,,,,,,01111799999999
22918,2009-01-03T05:12:00Z,28.6490,129.4510,22.4,0,,,,,,,,,01441799999999
22918,2009-01-03T07:14:00Z,28.6490,129.4510,22.5,0,,,,,,,,,01111799999999
22918,2009-01-03T07:24:00Z,28.6650,129.4140,22.5,0,,,,,,,,,01441799999999
22918,2009-01-03T07:52:00Z,28.6680,129.4090,22.5,0,,,,,,,,,01111799999999
22918,2009-01-03T09:03:00Z,28.6730,129.3940,22.4,0,,,,,,,,,01111799999999
22918,2009-01-03T09:04:00Z,28.6740,129.3950,22.4,0,,,,,,,,,01441799999999
22918,2009-01-03T09:30:00Z,28.6740,129.3950,22.4,0,,,,,,,,,01111799999999
22918,2009-01-03T09:33:00Z,28.6720,129.3900,22.4,0,,,,,,,,,01441799999999
22918,2009-01-03T10:54:00Z,28.6720,129.3900,22.4,0,,,,,,,,,01111799999999
22918,2009-01-03T11:29:00Z,28.6560,129.3620,22.4,0,,,,,,,,,01441799999999
22918,2009-01-03T11:35:00Z,28.6600,129.3680,22.4,0,,,,,,,,,01441799999999
22918,2009-01-03T12:39:00Z,28.6520,129.3560,22.4,0,,,,,,,,,01111799999999
22918,2009-01-03T13:15:00Z,28.6430,129.3370,22.4,0,,,,,,,,,01111799999999
22918,2009-01-03T14:16:00Z,28.6190,129.3100,22.4,0,,,,,,,,,01111799999999
22918,2009-01-03T15:56:00Z,28.5940,129.2610,22.4,0,,,,,,,,,01111799999999
22918,2009-01-03T15:59:00Z,28.5940,129.2610,22.4,0,,,,,,,,,01111799999999
22918,2009-01-03T17:37:00Z,28.5570,129.2320,22.3,0,,,,,,,,,01111799999999
22918,2009-01-03T19:16:00Z,28.5570,129.2320,22.2,0,,,,,,,,,01111799999999
22918,2009-01-03T19:44:00Z,28.5200,129.1890,22.2,0,,,,,,,,,01441799999999
22918,2009-01-03T19:48:00Z,28.5190,129.1890,22.2,0,,,,,,,,,01111799999999
22918,2009-01-03T20:17:00Z,28.5190,129.1890,22.2,0,,,,,,,,,01111799999999
22918,2009-01-03T20:21:00Z,28.5190,129.1890,22.2,0,,,,,,,,,01111799999999
22918,2009-01-03T21:22:00Z,28.4940,129.1990,22.2,0,,,,,,,,,01111799999999
22918,2009-01-03T21:26:00Z,28.4940,129.1970,22.2,0,,,,,,,,,01111799999999
22918,2009-01-03T22:01:00Z,28.4840,129.2010,22.3,0,,,,,,,,,01111799999999
22918,2009-01-03T23:59:00Z,28.4460,129.1970,22.2,0,,,,,,,,,01111799999999
22918,2009-01-04T00:00:00Z,28.4490,129.1980,,0,-0.7,-2.6,0,-0.02,311,15,-0.057,-0.396,01119711111111
22918,2009-01-04T00:57:00Z,28.4370,129.1950,22.2,0,,,,,,,,,01111799999999
22918,2009-01-04T01:30:00Z,28.4370,129.1940,,0,,,,,,,,,01119799999999
22918,2009-01-04T01:39:00Z,28.4320,129.1900,22.3,0,,,,,,,,,01111799999999
22918,2009-01-04T02:34:00Z,28.4370,129.1940,22.3,0,,,,,,,,,01111799999999
22918,2009-01-04T02:40:00Z,28.4250,129.1860,22.3,0,,,,,,,,,01441799999999
22918,2009-01-04T03:00:00Z,28.4220,129.1830,,0,0.1,-2.5,0,-0.01,311,15,-0.21,-0.29,01119711111111
22918,2009-01-04T03:16:00Z,28.4050,129.1750,22.4,0,,,,,,,,,01111799999999
22918,2009-01-04T03:20:00Z,28.4150,129.1810,22.5,0,,,,,,,,,01441799999999
22918,2009-01-04T04:56:00Z,28.4060,129.1650,22.5,0,,,,,,,,,01111799999999
