PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
22540,2009-01-03T00:20:00Z,20.4350,116.2110,24.6,0,,,,,,,,,01111799999999
22540,2009-01-03T01:26:00Z,20.4350,116.2110,24.6,0,,,,,,,,,01111799999999
22540,2009-01-03T01:27:00Z,20.4350,116.2110,,0,,,,,,,,,01119799999999
22540,2009-01-03T01:54:00Z,20.4350,116.2110,,0,,,,,,,,,01119799999999
22540,2009-01-03T02:05:00Z,20.4350,116.2110,24.6,0,,,,,,,,,01111799999999
22540,2009-01-03T03:00:00Z,20.4350,116.2110,,0,,,,,,,,,01119799999999
22540,2009-01-03T03:06:00Z,20.4510,116.0920,24.6,0,,,,,,,,,01441799999999
22540,2009-01-03T05:02:00Z,20.4350,116.2110,24.6,0,,,,,,,,,01441799999999
22540,2009-01-03T05:11:00Z,20.4510,116.0920,,0,,,,,,,,,01449799999999
22540,2009-01-03T06:41:00Z,20.4510,116.0920,,0,,,,,,,,,01119799999999
22540,2009-01-03T06:47:00Z,20.4510,116.0920,24.6,0,,,,,,,,,01111799999999
22540,2009-01-03T07:44:00Z,20.4510,116.0920,,0,,,,,,,,,01119799999999
22540,2009-01-03T08:54:00Z,20.4510,116.0920,,0,,,,,,,,,01119799999999
22540,2009-01-03T08:59:00Z,20.4510,116.0920,24.6,0,,,,,,,,,01111799999999
22540,2009-01-03T09:24:00Z,20.4590,116.0900,24.6,0,,,,,,,,,01111799999999
22540,2009-01-03T09:32:00Z,20.4460,116.0500,24.6,0,,,,,,,,,01441799999999
22540,2009-01-03T10:36:00Z,20.4460,116.0500,,0,,,,,,,,,01119799999999
22540,2009-01-03T11:05:00Z,20.4460,116.0500,,0,,,,,,,,,01119799999999
22540,2009-01-03T12:30:00Z,20.4460,116.0500,24.6,0,,,,,,,,,01111799999999
22540,2009-01-03T13:12:00Z,20.4120,116.0120,24.6,0,,,,,,,,,01441799999999
22540,2009-01-03T14:14:00Z,20.4160,116.0200,24.6,0,,,,,,,,,01111799999999
22540,2009-01-03T14:45:00Z,20.4040,115.9960,24.6,0,,,,,,,,,01441799999999
22540,2009-01-03T14:50:00Z,20.3960,115.9890,24.6,0,,,,,,,,,01441799999999
22540,2009-01-03T17:38:00Z,20.3960,115.9890,24.5,0,,,,,,,,,01111799999999
22540,2009-01-03T17:39:00Z,20.3790,115.9290,,0,,,,,,,,,01449799999999
22540,2009-01-03T17:42:00Z,20.3800,115.9270,24.5,0,,,,,,,,,01111799999999
22540,2009-01-03T19:23:00Z,20.3800,115.9270,24.5,0,,,,,,,,,01111799999999
22540,2009-01-03T19:47:00Z,20.3800,115.9270,,0,,,,,,,,,01119799999999
