PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),PRES_ADJUSTED (decibar),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER,DATA_MODE
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,899.4,4.509,34.407,4.509,34.407,899.4,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,924.2,4.43,34.416,4.43,34.416,924.2,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,949.2,4.349,34.422,4.349,34.422,949.2,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,974.4,4.237,34.431,4.237,34.431,974.4,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,999.2,4.087,34.449,4.087,34.449,999.2,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,1049,4.118,34.498,4.118,34.498,1049,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,1099.5,3.747,34.499,3.747,34.499,1099.5,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,1199.3,3.566,34.519,3.566,34.519,1199.3,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,1299.4,3.264,34.527,3.264,34.527,1299.4,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,1399.2,2.924,34.56,2.924,34.56,1399.2,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
