PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER,DATA_MODE
2901172,80614,2009-01-07T03:11:26Z,20.5270,120.0370,99.5,23.396,34.148,99.5,23.396,34.1497,00111111222,0063_80614_009,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,TNPD: APEX float that truncated negative pressure drift; Unknown surface pressure drift (not corrected); Druck serial number greater than 2324175, no detectable T/S anomaly, indicative 20 db error applies,PRES,24/03/2020 01:15:07,Primary sampling: discrete,1,1,D
2901172,80614,2009-01-07T03:11:26Z,20.5270,120.0370,109.7,22.881,34.305,109.7,22.881,34.3089,00111111222,0063_80614_009,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,TNPD: APEX float that truncated negative pressure drift; Unknown surface pressure drift (not corrected); Druck serial number greater than 2324175, no detectable T/S anomaly, indicative 20 db error applies,PRES,24/03/2020 01:15:07,Primary sampling: discrete,1,1,D
2901172,80614,2009-01-07T03:11:26Z,20.5270,120.0370,119.6,21.79,34.507,119.6,21.79,34.5113,00111111222,0063_80614_009,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,TNPD: APEX float that truncated negative pressure drift; Unknown surface pressure drift (not corrected); Druck serial number greater than 2324175, no detectable T/S anomaly, indicative 20 db error applies,PRES,24/03/2020 01:15:07,Primary sampling: discrete,1,1,D
2901172,80614,2009-01-07T03:11:26Z,20.5270,120.0370,129.5,20.455,34.478,129.5,20.455,34.4803,00111111222,0063_80614_009,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,TNPD: APEX float that truncated negative pressure drift; Unknown surface pressure drift (not corrected); Druck serial number greater than 2324175, no detectable T/S anomaly, indicative 20 db error applies,PRES,24/03/2020 01:15:07,Primary sampling: discrete,1,1,D
2901172,80614,2009-01-07T03:11:26Z,20.5270,120.0370,139.7,19.849,34.497,139.7,19.849,34.5004,00111111222,0063_80614_009,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,TNPD: APEX float that truncated negative pressure drift; Unknown surface pressure drift (not corrected); Druck serial number greater than 2324175, no detectable T/S anomaly, indicative 20 db error applies,PRES,24/03/2020 01:15:07,Primary sampling: discrete,1,1,D
2901172,80614,2009-01-07T03:11:26Z,20.5270,120.0370,149.2,18.957,34.519,149.2,18.957,34.5209,00111111222,0063_80614_009,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,TNPD: APEX float that truncated negative pressure drift; Unknown surface pressure drift (not corrected); Druck serial number greater than 2324175, no detectable T/S anomaly, indicative 20 db error applies,PRES,24/03/2020 01:15:07,Primary sampling: discrete,1,1,D
2901172,80614,2009-01-07T03:11:26Z,20.5270,120.0370,159.5,18.439,34.552,159.5,18.439,34.5534,00111111222,0063_80614_009,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,TNPD: APEX float that truncated negative pressure drift; Unknown surface pressure drift (not corrected); Druck serial number greater than 2324175, no detectable T/S anomaly, indicative 20 db error applies,PRES,24/03/2020 01:15:07,Primary sampling: discrete,1,1,D
2901172,80614,2009-01-07T03:11:26Z,20.5270,120.0370,169.5,18.06,34.556,169.5,18.06,34.5568,00111111222,0063_80614_009,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,TNPD: APEX float that truncated negative pressure drift; Unknown surface pressure drift (not corrected); Druck serial number greater than 2324175, no detectable T/S anomaly, indicative 20 db error applies,PRES,24/03/2020 01:15:07,Primary sampling: discrete,1,1,D
2901172,80614,2009-01-07T03:11:26Z,20.5270,120.0370,179.5,17.836,34.562,179.5,17.836,34.5635,00111111222,0063_80614_009,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,TNPD: APEX float that truncated negative pressure drift; Unknown surface pressure drift (not corrected); Druck serial number greater than 2324175, no detectable T/S anomaly, indicative 20 db error applies,PRES,24/03/2020 01:15:07,Primary sampling: discrete,1,1,D
2901172,80614,2009-01-07T03:11:26Z,20.5270,120.0370,189.3,17.456,34.572,189.3,17.456,34.5743,00111111222,0063_80614_009,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,TNPD: APEX float that truncated negative pressure drift; Unknown surface pressure drift (not corrected); Druck serial number greater than 2324175, no detectable T/S anomaly, indicative 20 db error applies,PRES,24/03/2020 01:15:07,Primary sampling: discrete,1,1,D
