PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
2201558,2019-11-09T06:04:00Z,20.6041,124.9981,27.48,0,,,,,,,,,,,0111179999999999
2201558,2019-11-09T07:00:00Z,20.6180,124.9880,,0,-7.3,-11.1,-0.17,-0.31,27.46,0.5,313,15,-0.349,0.164,0111971111171111
2201558,2019-11-09T08:00:00Z,20.6240,124.9730,,0,-7.3,-10.6,-0.17,-0.27,27.45,0.5,313,15,-0.299,0.16,0111971111171111
2201558,2019-11-09T09:00:00Z,20.6290,124.9590,,0,-7.3,-10.6,-0.17,-0.27,27.43,0.5,313,15,-0.249,0.156,0111971111171111
2201558,2019-11-09T10:00:00Z,20.6350,124.9450,,0,-7.3,-10.6,-0.17,-0.28,27.42,0.5,313,15,-0.199,0.152,0111971111171111
2201558,2019-11-09T11:00:00Z,20.6410,124.9310,,0,-7,-10,-0.17,-0.25,27.4,0.5,313,15,-0.149,0.148,0111971111171111
2201558,2019-11-09T12:00:00Z,20.6460,124.9160,,0,-7,-10,-0.17,-0.25,27.39,0.5,313,15,-0.098,0.144,0111971111171111
2201558,2019-11-09T13:00:00Z,20.6520,124.9020,,0,-7,-10,-0.17,-0.25,27.38,0.5,313,15,-0.048,0.14,0111971111171111
2201558,2019-11-09T13:04:00Z,20.6511,124.9011,27.38,0,,,,,,,,,,,0111179999999999
2201558,2019-11-09T14:00:00Z,20.6560,124.9000,,0,-6.9,-8.6,-0.15,-0.2,27.37,0.5,313,15,-0.044,0.118,0111971111171111
2201558,2019-11-09T14:04:00Z,20.6575,124.8997,27.37,0,,,,,,,,,,,0111179999999999
2201558,2019-11-09T15:00:00Z,20.6620,124.8980,,0,-6.9,-8.5,-0.15,-0.2,27.37,0.5,313,15,-0.044,0.125,0111971111171111
2201558,2019-11-09T15:00:00Z,20.6640,124.8973,27.37,0,,,,,,,,,,,0111179999999999
2201558,2019-11-09T16:00:00Z,20.6640,124.8970,,0,-6.9,-8.5,-0.15,-0.2,27.36,0.5,313,15,-0.036,0.032,0111971111171111
2201558,2019-11-09T16:04:00Z,20.6650,124.8966,27.36,0,,,,,,,,,,,0111179999999999
2201558,2019-11-09T17:00:00Z,20.6640,124.8940,,0,-5.8,-8.2,-0.13,-0.18,27.36,0.5,313,15,-0.075,-0.03,0111971111171111
2201558,2019-11-09T17:00:00Z,20.6641,124.8949,27.36,0,,,,,,,,,,,0111179999999999
2201558,2019-11-09T18:00:00Z,20.6630,124.8900,,0,-5.8,-8.2,-0.13,-0.18,27.35,0.5,313,15,-0.107,-0.018,0111971111171111
2201558,2019-11-09T19:00:00Z,20.6620,124.8870,,0,-5.8,-8.2,-0.13,-0.18,27.33,0.5,313,15,-0.14,-0.005,0111971111171111
2201558,2019-11-09T19:02:00Z,20.6610,124.8867,27.35,0,,,,,,,,,,,0111179999999999
2201558,2019-11-09T20:00:00Z,20.6600,124.8820,,0,-5.7,-7.8,-0.1,-0.14,27.31,0.5,313,15,-0.128,-0.022,0111971111171111
2201558,2019-11-09T20:00:00Z,20.6617,124.8819,27.3,0,,,,,,,,,,,0111179999999999
2201558,2019-11-09T21:00:00Z,20.6600,124.8750,,0,-5.7,-7.8,-0.1,-0.14,27.32,0.5,313,15,-0.15,-0.011,0111971111171111
2201558,2019-11-09T21:00:00Z,20.6610,124.8760,27.32,0,,,,,,,,,,,0111179999999999
2201558,2019-11-09T22:00:00Z,20.6600,124.8730,,0,-5.7,-7.8,-0.1,-0.14,27.32,0.5,313,15,-0.153,-0.029,0111971111171111
2201558,2019-11-09T23:00:00Z,20.6580,124.8700,,0,8.9,-5.9,-0.08,-0.13,27.32,0.5,313,15,-0.156,-0.048,0111971111171111
2201558,2019-11-10T00:00:00Z,20.6570,124.8660,,0,-5.4,-7.4,-0.08,-0.13,27.32,0.5,313,15,-0.173,-0.079,0111971111171111
2201558,2019-11-10T01:00:00Z,20.6550,124.8630,,0,-5.4,-7.4,-0.08,-0.13,27.33,0.5,313,15,-0.173,-0.094,0111971111171111
2201558,2019-11-10T02:00:00Z,20.6530,124.8610,,0,-5.1,-5.6,-0.08,-0.12,27.33,0.5,313,15,-0.172,-0.11,0111971111171111
2201558,2019-11-10T03:00:00Z,20.6530,124.8580,,0,-5.1,-5.6,-0.08,-0.12,27.33,0.5,313,15,-0.172,-0.126,0111971111171111
2201558,2019-11-10T04:00:00Z,20.6500,124.8550,,0,-5.1,-5.6,-0.08,-0.12,27.33,0.5,313,15,-0.172,-0.142,0111971111171111
2201558,2019-11-10T04:04:00Z,20.6512,124.8534,27.33,0,,,,,,,,,,,0111179999999999
2201558,2019-11-10T05:00:00Z,20.6460,124.8480,,0,-4.7,-5.7,-0.06,-0.07,27.34,0.5,313,15,-0.194,-0.14,0111971111171111
2201558,2019-11-10T05:00:00Z,20.6474,124.8513,27.33,0,,,,,,,,,,,0111179999999999
2201558,2019-11-10T06:00:00Z,20.6420,124.8440,,0,-4.7,-5.7,-0.06,-0.07,27.34,0.5,313,15,-0.21,-0.164,0111971111171111
2201558,2019-11-10T06:00:00Z,20.6427,124.8441,27.35,0,,,,,,,,,,,0111179999999999
2201558,2019-11-10T07:00:00Z,20.6380,124.8350,,0,-4.7,-5.7,-0.06,-0.07,27.33,0.5,313,15,-0.236,-0.136,0111971111171111
2201558,2019-11-10T07:04:00Z,20.6364,124.8356,27.33,0,,,,,,,,,,,0111179999999999
2201558,2019-11-10T08:00:00Z,20.6320,124.8270,,0,-4.3,-6.5,-0.05,-0.07,27.32,0.5,313,15,-0.275,-0.111,0111971111171111
2201558,2019-11-10T08:04:00Z,20.6338,124.8268,27.33,0,,,,,,,,,,,0111179999999999
