PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),QC
2101751,2019-11-19T20:00:00Z,23.2240,124.9990,25.5,0,3.6,0111171
2101751,2019-11-19T21:00:00Z,23.2080,124.9890,25.5,0,3.4,0111171
2101751,2019-11-19T22:00:00Z,23.1940,124.9780,25.6,0,3.7,0111171
2101751,2019-11-19T23:00:00Z,23.1840,124.9680,25.6,0,3.8,0111171
2101751,2019-11-20T00:00:00Z,23.1770,124.9570,25.5,0,3.8,0111171
2101751,2019-11-20T01:00:00Z,23.1700,124.9470,25.6,0,4.2,0111171
2101751,2019-11-20T02:00:00Z,23.1620,124.9390,25.5,0,3.9,0111171
2101751,2019-11-20T03:00:00Z,23.1520,124.9310,25.6,0,3.8,0111171
2101751,2019-11-20T04:00:00Z,23.1390,124.9210,25.6,0,3.6,0111171
2101751,2019-11-20T05:00:00Z,23.1260,124.9090,25.6,0,3.7,0111171
2101751,2019-11-20T06:00:00Z,23.1120,124.8940,25.5,0,3.4,0111171
2101751,2019-11-20T07:00:00Z,23.0990,124.8770,25.5,0,3.7,0111171
2101751,2019-11-20T08:00:00Z,23.0860,124.8620,25.5,0,3.2,0111171
2101751,2019-11-20T09:00:00Z,23.0730,124.8460,25.5,0,3.7,0111171
2101751,2019-11-20T10:00:00Z,23.0610,124.8310,25.5,0,3.4,0111171
2101751,2019-11-20T11:00:00Z,23.0520,124.8170,25.5,0,3.9,0111171
2101751,2019-11-20T12:00:00Z,23.0440,124.8050,25.5,0,4,0111171
2101751,2019-11-20T13:00:00Z,23.0400,124.7930,25.4,0,3.7,0111171
2101751,2019-11-20T14:00:00Z,23.0360,124.7830,25.4,0,4,0111171
2101751,2019-11-20T15:00:00Z,23.0330,124.7740,25.4,0,3.8,0111171
2101751,2019-11-20T16:00:00Z,23.0290,124.7670,25.4,0,4,0111171
2101751,2019-11-20T17:00:00Z,23.0250,124.7610,25.4,0,3.7,0111171
2101751,2019-11-20T18:00:00Z,23.0200,124.7560,25.4,0,4.3,0111171
2101751,2019-11-20T19:00:00Z,23.0150,124.7510,25.4,0,3.6,0111171
2101751,2019-11-20T20:00:00Z,23.0100,124.7460,25.4,0,3.7,0111171
2101751,2019-11-20T21:00:00Z,23.0050,124.7430,25.4,0,3.5,0111171
2101751,2019-11-20T22:00:00Z,22.9970,124.7430,25.5,0,3.9,0111171
2101751,2019-11-20T23:00:00Z,22.9870,124.7400,25.5,0,3.4,0111171
2101751,2019-11-21T00:00:00Z,22.9800,124.7340,25.5,0,3.4,0111171
2101751,2019-11-21T01:00:00Z,22.9730,124.7290,25.5,0,4.2,0111171
2101751,2019-11-21T02:00:00Z,22.9690,124.7210,25.5,0,3.9,0111171
2101751,2019-11-21T03:00:00Z,22.9700,124.7130,25.5,0,4.4,0111171
2101751,2019-11-21T04:00:00Z,22.9730,124.7020,25.5,0,4.5,0111171
2101751,2019-11-21T05:00:00Z,22.9760,124.6900,25.5,0,4.3,0111171
2101751,2019-11-21T06:00:00Z,22.9750,124.6740,25.4,0,4,0111171
2101751,2019-11-21T07:00:00Z,22.9750,124.6560,25.5,0,4.6,0111171
2101751,2019-11-21T08:00:00Z,22.9800,124.6400,25.4,0,4.7,0111171
2101751,2019-11-21T09:00:00Z,22.9840,124.6290,25.4,0,4.2,0111171
2101751,2019-11-21T10:00:00Z,22.9890,124.6140,25.4,0,4.6,0111171
2101751,2019-11-21T11:00:00Z,22.9900,124.5960,25.3,0,3.9,0111171
2101751,2019-11-21T12:00:00Z,22.9910,124.5780,25.3,0,3.8,0111171
2101751,2019-11-21T13:00:00Z,22.9880,124.5560,25.3,0,3.9,0111171
2101751,2019-11-21T14:00:00Z,22.9840,124.5270,25.3,0,4.2,0111171
2101751,2019-11-21T15:00:00Z,22.9800,124.4990,25.4,0,4.9,0111171
2101751,2019-11-21T16:00:00Z,22.9750,124.4750,25.3,0,4.5,0111171
2101751,2019-11-21T17:00:00Z,22.9690,124.4530,25.3,0,,0111179
2101751,2019-11-21T18:00:00Z,22.9720,124.4260,25.3,0,5.6,0111171
2101751,2019-11-21T19:00:00Z,22.9660,124.4020,25.5,0,5.4,0111171
2101751,2019-11-21T20:00:00Z,22.9540,124.3730,25.5,0,,0111179
2101751,2019-11-21T21:00:00Z,22.9350,124.3430,25.4,0,5.5,0111171
2101751,2019-11-21T22:00:00Z,22.9090,124.3100,25.3,0,,0111179
2101751,2019-11-21T23:00:00Z,22.8790,124.2710,25.2,0,6.1,0111171
2101751,2019-11-22T00:00:00Z,22.8520,124.2390,25.2,0,,0111179
2101751,2019-11-22T01:00:00Z,22.8340,124.2330,25.2,0,4,0111171
2101751,2019-11-22T02:00:00Z,22.8180,124.2260,25.3,0,3.5,0111171
2101751,2019-11-22T03:00:00Z,22.8040,124.2200,25.3,0,3.5,0111171
2101751,2019-11-22T04:00:00Z,22.7900,124.2140,25.3,0,3.2,0111171
2101751,2019-11-22T05:00:00Z,22.7780,124.2090,25.4,0,3,0111171
2101751,2019-11-22T06:00:00Z,22.7660,124.2050,25.4,0,2.6,0111171
2101751,2019-11-22T07:00:00Z,22.7540,124.2040,25.4,0,2.5,0111171
2101751,2019-11-22T08:00:00Z,22.7420,124.2070,25.4,0,2.3,0111171
2101751,2019-11-22T09:00:00Z,22.7280,124.2110,25.4,0,2.3,0111171
2101751,2019-11-22T10:00:00Z,22.7120,124.2110,25.3,0,2,0111171
2101751,2019-11-22T11:00:00Z,22.6970,124.2130,25.3,0,2.4,0111171
2101751,2019-11-22T12:00:00Z,22.6810,124.2160,25.3,0,2,0111171
2101751,2019-11-22T13:00:00Z,22.6630,124.2170,25.3,0,2.1,0111171
2101751,2019-11-22T14:00:00Z,22.6450,124.2130,25.3,0,1.9,0111171
2101751,2019-11-22T15:00:00Z,22.6270,124.2060,25.3,0,1.9,0111171
2101751,2019-11-22T18:00:00Z,22.5790,124.1800,25.3,0,1.8,0111171
2101751,2019-11-22T21:00:00Z,22.5320,124.1750,25.4,0,1.7,0111171
2101751,2019-11-23T00:00:00Z,22.4840,124.1550,25.4,0,1.9,0111171
2101751,2019-11-23T03:00:00Z,22.4370,124.1320,26,0,1.7,0111171
2101751,2019-11-23T06:00:00Z,22.3910,124.0930,26.7,0,1.7,0111171
2101751,2019-11-23T09:00:00Z,22.3550,124.0480,26.3,0,1.4,0111171
2101751,2019-11-23T12:00:00Z,22.3290,124.0080,25.9,0,1.4,0111171
2101751,2019-11-23T15:00:00Z,22.2950,123.9680,25.7,0,1.5,0111171
2101751,2019-11-23T18:00:00Z,22.2570,123.9060,25.6,0,1.6,0111171
2101751,2019-11-23T21:00:00Z,22.2390,123.8480,25.5,0,1.5,0111171
2101751,2019-11-24T00:00:00Z,22.2160,123.7760,25.5,0,1.4,0111171
